threshold,tp,fp,tn,fn,accuracy,precision,recall,specificity,f1
0,85,85,0,0,0.5,0.5,1.0,0.0,0.6666666666666666
10,55,1,84,30,0.8176470588235294,0.9821428571428571,0.6470588235294118,0.9882352941176471,0.7801418439716312
20,8,0,85,77,0.5470588235294118,1.0,0.09411764705882353,1.0,0.17204301075268816
30,2,0,85,83,0.5117647058823529,1.0,0.023529411764705882,1.0,0.04597701149425288
40,0,0,85,85,0.5,0.0,0.0,1.0,0.0
50,0,0,85,85,0.5,0.0,0.0,1.0,0.0
60,0,0,85,85,0.5,0.0,0.0,1.0,0.0
70,0,0,85,85,0.5,0.0,0.0,1.0,0.0
80,0,0,85,85,0.5,0.0,0.0,1.0,0.0
90,0,0,85,85,0.5,0.0,0.0,1.0,0.0
100,0,0,85,85,0.5,0.0,0.0,1.0,0.0
